S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,2015,2016,2017,2018,2019,2020,2021
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,10149.0,10217.0,10271.0,10325.0,10386.0,10472.0,10563.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,21013.0,21039.0,21036.0,20993.0,20917.0,20728.0,20495.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,21754.0,21858.0,21988.0,21883.0,21857.0,21809.0,21548.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,15918.0,15955.0,15984.0,16015.0,16074.0,16031.0,16018.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,21536.0,21816.0,22165.0,22435.0,22655.0,22830.0,22827.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,9015.0,9096.0,9134.0,9158.0,9179.0,9180.0,9126.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,11607.0,11686.0,11747.0,11800.0,11848.0,11901.0,11907.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,20122.0,20346.0,20513.0,20625.0,20729.0,20778.0,20779.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,14241.0,14619.0,14923.0,15362.0,15692.0,15891.0,16031.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,17049.0,17420.0,17439.0,17385.0,17252.0,17032.0,16598.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,4804.0,4785.0,4866.0,4931.0,4997.0,5088.0,5225.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,14450.0,14571.0,14699.0,14749.0,14747.0,14710.0,14677.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,6131.0,6216.0,6352.0,6485.0,6623.0,6777.0,6957.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,6185.0,6284.0,6330.0,6371.0,6391.0,6350.0,6322.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,15055.0,15125.0,15342.0,15475.0,15591.0,15670.0,15809.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,9167.0,9133.0,9186.0,9255.0,9326.0,9410.0,9482.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,4880.0,4896.0,4990.0,5068.0,5139.0,5163.0,5176.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,6885.0,6873.0,6924.0,6963.0,7011.0,7069.0,7113.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,7773.0,7808.0,7863.0,7906.0,7970.0,8017.0,8086.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,5190.0,5206.0,5279.0,5372.0,5444.0,5524.0,5591.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,411.0,414.0,420.0,426.0,430.0,437.0,444.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,16751.0,17001.0,17321.0,17628.0,17914.0,18201.0,18409.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,17224.0,17652.0,18227.0,18899.0,19637.0,20383.0,21168.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,5342.0,5375.0,5367.0,5354.0,5339.0,5313.0,5285.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,11131.0,11345.0,11558.0,11861.0,12185.0,12484.0,12803.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,11723.0,11743.0,11750.0,11750.0,11742.0,11730.0,11720.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,16851.0,16981.0,17131.0,17206.0,17228.0,17221.0,17216.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,5084.0,5108.0,5149.0,5179.0,5204.0,5233.0,5277.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,10484.0,10661.0,10997.0,11360.0,11716.0,12122.0,12427.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,20882.0,20894.0,20983.0,21065.0,21147.0,21219.0,21279.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,12376.0,12538.0,12626.0,12704.0,12783.0,12878.0,13009.0
1,New South Wales,1RNSW,Rest of NSW,108,Mid North Coast,5493.0,5491.0,5490.0,5475.0,5475.0,5445.0,5395.0
1,New South Wales,1RNSW,Rest of NSW,109,Murray,14842.0,15321.0,15718.0,16246.0,16724.0,17267.0,17847.0
1,New South Wales,1RNSW,Rest of NSW,109,Murray,9900.0,10004.0,10180.0,10318.0,10421.0,10493.0,10525.0
1,New South Wales,1RNSW,Rest of NSW,109,Murray,10727.0,10686.0,10656.0,10615.0,10573.0,10542.0,10487.0
1,New South Wales,1RNSW,Rest of NSW,109,Murray,11669.0,11784.0,11912.0,12017.0,12115.0,12258.0,12448.0
1,New South Wales,1RNSW,Rest of NSW,109,Murray,14614.0,14725.0,14976.0,15171.0,15332.0,15505.0,15634.0
